id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Midnight Cipher,Street Cipher,hip-hop,intense,0.85,98,0.45,0.81,0.15
12,Velvet Nights,Sienna Cole,soul,romantic,0.60,94,0.75,0.72,0.68
13,Neon Rush,Synth Masters,electronic,upbeat,0.95,130,0.88,0.92,0.05
14,Autumn Farewell,Wooden Hearts,folk,melancholic,0.35,75,0.42,0.50,0.85
15,Thunder Forge,Iron Wolves,metal,aggressive,0.94,152,0.38,0.45,0.08
16,Island Breeze,Sunset Vibes,reggae,laid-back,0.48,92,0.72,0.75,0.78
17,Moonlight Meditation,Chamber Orchestra,classical,peaceful,0.28,60,0.68,0.35,0.95
18,Fuego Tropical,Luna Fuerte,latin,energetic,0.87,96,0.81,0.88,0.25

